Lat,Long,Localidad
18.336190,-99.548700,Iguala
18.344933,-99.523421,Iguala
17.56387,-99.50881,Chilpancingo
17.53372,-99.4953,Chilpancingo
16.859253,-99.811082,Acapulco
16.854670,-99.859000,Acapulco
17.000428,-100.081109,Coyuca de Benítez
16.981578,-100.092766,Coyuca de Benítez
17.135201,-100.471035,San Jerónimo
17.203334,-100.439456,Atoyac de Álvarez
17.208577,-100.631120,Técpan de Galeana
17.53924,-101.268,Petatlán
17.538057,-101.274387,Petatlán
17.640312,-101.549491,Ixtapa Zihuatanejo
17.661978,-101.602154,Ixtapa Zihuatanejo
17.967737,-102.221370,Lázaro Cárdenas
17.957477,-102.197062,Lázaro Cárdenas
16.796272,-99.384507,San Marcos
16.776072,-99.389597,San Marcos
16.966869,-99.099558,Ayutla
16.962718,-99.099598,Ayutla
16.472229,-98.417195,Cuajinicuilapa
16.469438,-98.404296,Cuajinicuilapa
16.684243,-98.413262,Ometepec
16.655556,-98.502720,Ometepec
16.339113,-98.050794,Pinotepa Nacional
16.342370,-98.054945,Pinotepa Nacional
16.347631,-98.049789,Pinotepa Nacional
17.048581,-96.731978,Oaxaca
17.09664,-96.7188,Oaxaca
19.036854,-98.198628,Puebla
20.804744,-103.461231,Guadalajara
20.821003,-103.443252,Guadalajara
20.636702,-105.210862,Puerto Vallarta
20.622978,-105.222677,Puerto Vallarta
19.10487,-104.3426,Manzanillo
19.08863,-104.295,Manzanillo
15.759245,-96.101365,Huatulco
15.75357,-96.1353,Huatulco
16.201422,-95.195409,Salina Cruz
16.221122,-95.225068,Salina Cruz
15.671553,-93.212192,Pijijiapan
15.6828,-93.1972,Pijijiapan
14.908467,-92.264332,Tapachula
14.866764,-92.291183,Tapachula
16.242647,-93.905829,Arriaga
16.087235,-93.771577,Tonalá
15.863611,-97.073259,Puerto Escondido
15.86914,-97.07881,Puerto Escondido
19.59154,-105.1243,Pérula
19.589232,-105.1192,Pérula
18.088304,-102.792573,Caleta
18.072425,-102.759125,Caleta
18.7034,-103.6549,Coahuayana
18.865322,-98.949478,Cuautla
18.80352,-98.9356,Cuautla
17.8066,-97.7609,Huajuapan
17.821551,-97.752813,Huajuapan
18.08517,-96.1362,Tuxtepec
18.089788,-96.146614,Tuxtepec
16.346065,-96.580098,Miahuatlán
16.3382,-96.5991,Miahuatlán
16.878483,-95.034746,Matías Romero
16.88578,-95.053222,Matías Romero
19.27178,-99.5611,Toluca
18.294105,-98.597983,Chiautla
18.299641,-98.602987,Chiautla
18.47267,-97.3949,Tehuacán
18.443468,-97.394553,Tehuacán
18.85289,-97.0738,Orizaba
18.853131,-97.100853,Orizaba
16.76854,-93.0880,Tuxtla Gutiérrez
16.73173,-93.1687,Tuxtla Gutiérrez
16.21447,-92.1225,Comitán
16.253583,-92.142550,Comitán
19.726852,-101.212682,Morelia
19.5126,-96.9291,Xalapa
19.506584,-96.881443,Xalapa
19.204409,-104.68427,Barra de Navidad
19.223826,-104.708283,Barra de Navidad
19.24437,-103.7320,Colima
19.216212,-103.722781,Colima
18.9002,-103.9140,Tecomán
18.9056,-103.8883,Tecomán
15.662218,-96.504399,Pochutla
15.746646,-96.465529,Pochutla
16.723876,-99.123851,Cruz Grande
19.9421715,-105.2448855,Tomatlán
19.9338345,-105.2551348,Tomatlán
18.2010852,-98.049535,Acatlán de Osorio
18.213543,-98.041767,Acatlán de Osorio
15.963623,-95.728981,Santiago Astata
15.988003,-95.675172,Santiago Astata
16.013784,-97.437805,Río Grande
16.012104,-97.430456,Río Grande
17.3248715,-101.0448266,Papanoa
19.956222,-99.843972,Acambay
19.955136,-99.86061,Acambay
18.271578,-103.346440,Maruata
18.2716,-103.3464,Maruata
18.353052,-103.507194,El Faro de Bucerías
16.689882,-99.629913,Barra Vieja
16.593184,-98.817368,Marquelia
19.05845,-98.28823,Cholula
18.58108,-103.6710,San Juan de Alima
19.771142,-104.363808,Autlán de Navarro
19.602717,-104.436237,Casimiro Castillo
18.34920,-100.677760,Cd. Altamirano
15.13811,-92.466324,Huixtla
