Cluster ID,Name,State,Location,Grid Distances,Amplification,Flags,Closest
1,Centro,CDMX,"{""type"": ""Point"", ""coordinates"": [-99.133226, 19.432577]}","[[0.5], [0.5, 0.5], [0.5, 0.5, 0.5], [0.5, 0.5, 0.5, 0.5], [0.5, 0.5, 0.5, 0.5, 0.5], [0.5, 0.5, 0.5, 0.5, 0.5, 0.5]]","[0,0,0,0,0,0]","{""isCentral"": true, ""hasStrongConfirmation"": false}","{""id"": 45, ""name"": ""Amecameca"", ""distance"": 51.678}"
2,Cuernavaca,Mor,"{""type"": ""Point"", ""coordinates"": [-99.233317, 18.921208]}","[[40], [40, 90], [45, 100, 180], [100, 165, 265, 400], [150, 265, 395, 535, 745], [150, 250, 355, 469, 619, 794]]","[1,2,3,4,5,6]","{""isCentral"": true, ""hasStrongConfirmation"": false}","{""id"": 39, ""name"": ""Cuautla"", ""distance"": 32.101}"
3,Iguala,Gro,"{""type"": ""Point"", ""coordinates"": [-99.541152, 18.345012]}","[[133], [133, 233], [133, 233, 314], [133, 233, 314, 480], [133, 233, 314, 480, 638], [133, 233, 314, 480, 638, 760]]","[0,2,3,4,5,6]","{""isCentral"": true, ""hasStrongConfirmation"": false}","{""id"": 2, ""name"": ""Cuernavaca"", ""distance"": 71.893}"
4,Chilpancingo,Gro,"{""type"": ""Point"", ""coordinates"": [-99.50267, 17.519093]}","[[152], [152, 248], [152, 248, 338], [152, 248, 338, 502], [152, 248, 338, 502, 638], [152, 248, 338, 502, 638, 764]] ","[0,2,3,4,5,6]","{""isCentral"": false, ""hasStrongConfirmation"": true}","{""id"": 16, ""name"": ""Ayutla"", ""distance"": 75.41}"
5,Acapulco,Gro,"{""type"": ""Point"", ""coordinates"": [-99.911718, 16.847786]}","[[184], [184, 338], [184, 338, 510], [184, 338, 510, 635], [184, 338, 515, 635, 735], [184, 338, 515, 635, 735, 870]] ","[0,1,2,3,4,5]","{""isCentral"": false, ""hasStrongConfirmation"": true}","{""id"": 6, ""name"": ""Coyuca de Benítez"", ""distance"": 26.08}"
6,Coyuca de Benítez,Gro,"{""type"": ""Point"", ""coordinates"": [-100.089335, 17.009074]}","[[182], [182, 335], [182, 335, 507], [187, 335, 518, 635], [187, 335, 518, 635, 735], [187, 335, 518, 635, 735, 870]]","[0,1,2,3,4,5]","{""isCentral"": false, ""hasStrongConfirmation"": false}","{""id"": 5, ""name"": ""Acapulco"", ""distance"": 26.08}"
7,Atoyac de Álvarez,Gro,"{""type"": ""Point"", ""coordinates"": [-100.429996, 17.207321]}","[[183], [183, 348], [183, 348, 505], [183, 348, 517, 633], [186, 348, 517, 633, 735], [186, 348, 517, 633, 735, 870]] ","[0,1,2,3,4,5]","{""isCentral"": false, ""hasStrongConfirmation"": true}","{""id"": 8, ""name"": ""San Jerónimo"", ""distance"": 8.878}"
8,San Jerónimo,Gro,"{""type"": ""Point"", ""coordinates"": [-100.468439, 17.136528]}","[[183], [183, 348], [183, 348, 505], [183, 348, 517, 633], [186, 348, 517, 633, 735], [186, 348, 517, 633, 735, 870]] ","[0,1,2,3,4,5]","{""isCentral"": false, ""hasStrongConfirmation"": false}","{""id"": 7, ""name"": ""Atoyac"", ""distance"": 8.878}"
9,Técpan de Galeana,Gro,"{""type"": ""Point"", ""coordinates"": [-100.632532, 17.222319]}","[[184], [184, 348], [184, 348, 505], [184, 348, 517, 626], [186, 348, 517, 626, 735], [186, 348, 517, 626, 735, 876]] ","[0,1,2,3,4,5]","{""isCentral"": false, ""hasStrongConfirmation"": false}","{""id"": 8, ""name"": ""San Jerónimo"", ""distance"": 19.894}"
12,Petatlán,Gro,"{""type"": ""Point"", ""coordinates"": [-101.269902, 17.531348]}","[[226], [226, 390], [226, 390, 520], [226, 390, 520, 630], [226, 390, 520, 630, 740], [226, 390, 520, 630, 740, 880]]","[0,1,2,3,4,5]","{""isCentral"": false, ""hasStrongConfirmation"": false}","{""id"": 13, ""name"": ""Ixtapa Zihuatanejo"", ""distance"": 38.144}"
