_id,customer,quakeId,howIFelt,accuracy,coordinates[0],coordinates[1],createdAt
69bbde4fb409d60963ddaf27,5e1f25f2965553ffafa5aaac,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.2420905,19.3557646,2026-03-19T11:30:23.483Z
69bbde536e5e34587997007d,614287f2d9f8685330688065,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.10830521987289,19.30823562500184,2026-03-19T11:30:27.901Z
69bbde5933881af97062218b,5eb1125087a878000abe08ec,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1373136,19.4302678,2026-03-19T11:30:33.646Z
69bbde5996943ca0faace8fa,5eb1125087a878000abe08ec,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1373136,19.4302678,2026-03-19T11:30:33.707Z
69bbde7296943ca0faace97d,68c0c0c4c51f3c9adaf62638,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.69272061264692,19.265231517793342,2026-03-19T11:30:58.345Z
69bbde773d8f0a6fe7086a4a,62ec213ca20dffb7f324f330,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.1242057,19.2906465,2026-03-19T11:31:03.116Z
69bbde7a8c829929f30120e3,5af0deee4df1d890456d21b5,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1442316,19.4431779,2026-03-19T11:31:06.276Z
69bbde8696943ca0faace9b8,6957d1b879f7efc3480be0e6,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.214829,19.550088799999997,2026-03-19T11:31:18.007Z
69bbde9696943ca0faace9f3,59f64e8492c50710c3ecb271,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.1089562,19.324890099999998,2026-03-19T11:31:34.647Z
69bbdea23d8f0a6fe7086ade,6957d08e390c7a50e9de9631,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-101.1762341,19.6820494,2026-03-19T11:31:46.530Z
69bbdecf21e7d9be65f5a2dd,59f7204e178b28f9fbf4065b,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.2072003,19.4437197,2026-03-19T11:32:31.344Z
69bbdf3033f58ed4c61d1d41,5a0c977b81710def8248b05e,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.2446093,19.3416095,2026-03-19T11:34:08.052Z
69bbdfa6733b8958239f5c75,5a08c64695975e38ad365f2c,2850d217-45bb-4a84-8175-f159c386f1ae,strong,stronger,-99.502004,17.5539614,2026-03-19T11:36:07.002Z
69bbe01b9ab22f0ea43c50e1,63cd4ab2b9c41aee35c8921a,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.1310486,19.4318565,2026-03-19T11:38:03.376Z
69bbe02eca8ee595099e558c,5bea19f03e74669d779fba05,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.0613859,19.4925645,2026-03-19T11:38:22.584Z
69bbe02fca8ee595099e5592,665483f7a5345dcaf29752f8,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.05473111197352,19.514068007375542,2026-03-19T11:38:23.513Z
69bbe031b8fdcdb7e1b227ae,613939593d89f60856c27670,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.9121457,16.8597541,2026-03-19T11:38:25.309Z
69bbe0333ae94e89738495b2,65983c00e49c482a5f9dc85b,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.0267076,19.600887999999998,2026-03-19T11:38:27.344Z
69bbe0338c829929f3012563,69b204a94529cf488d4e4378,2850d217-45bb-4a84-8175-f159c386f1ae,strong,correct,-100.2487967,17.2522619,2026-03-19T11:38:27.597Z
69bbe0353ae94e89738495b8,687789418f83042cff2298aa,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.19128970000001,19.3465231,2026-03-19T11:38:29.969Z
69bbe03633881af97062268b,6328101447e13e53f4d13d65,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.1575772,19.2710618,2026-03-19T11:38:30.168Z
69bbe0368c829929f3012574,6327ff2ca54f690c0f0cc655,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.1601925,19.4180436,2026-03-19T11:38:30.527Z
69bbe03686e0f5f192bcf1b7,6990c496db948d54117d1787,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.83641920571584,16.81210838060212,2026-03-19T11:38:30.953Z
69bbe037b409d60963ddb4c7,59f88052543d32d8d526d8ee,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1680155,19.4313163,2026-03-19T11:38:31.067Z
69bbe03756f80c19cdfe7450,687789418f83042cff2298aa,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.19128970000001,19.3465231,2026-03-19T11:38:31.328Z
69bbe0378e8ac06d49fedda8,688e54639eb6b8344b76f0c0,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.25500029999999,19.4905757,2026-03-19T11:38:31.367Z
69bbe0373d8f0a6fe7086e6d,67b203ede9bf90a9c49267f1,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.12566598974925,19.43272994122763,2026-03-19T11:38:31.551Z
69bbe03721e7d9be65f5a640,68cf6a784f46c51fa1887099,2850d217-45bb-4a84-8175-f159c386f1ae,moderate,correct,-99.6282581,19.2792611,2026-03-19T11:38:31.838Z
69bbe0376e5e345879970630,59f7120b26457201db673601,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.29743761710805,19.370227855778687,2026-03-19T11:38:31.924Z
69bbe0386f3ec378d96f34c8,5a02ae4a1145d83efcb85951,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.0073673,19.4102526,2026-03-19T11:38:32.335Z
69bbe03833881af970622695,610e0db7c56ea4817aeb0cc7,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1251318,19.4316849,2026-03-19T11:38:32.527Z
69bbe0399c2fd53e108bd084,69361011cec4454ec3bbd4db,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.04695035889745,19.46912671576699,2026-03-19T11:38:33.188Z
69bbe03986e0f5f192bcf1c4,5a8ae40d5b7cc0cee07f924e,2850d217-45bb-4a84-8175-f159c386f1ae,strong,stronger,-99.9264371,16.867353,2026-03-19T11:38:33.296Z
69bbe0396f3ec378d96f34cd,5abcf6920162b16d8a9042ad,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-93.1530191,17.8593456,2026-03-19T11:38:33.455Z
69bbe03933f58ed4c61d1f75,6783e9ff29529a979f957b77,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.1497664,19.3545104,2026-03-19T11:38:33.590Z
69bbe039bf58a109b517ac2a,697f55d79ea2c7084f894314,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.53119389999999,17.5950102,2026-03-19T11:38:33.662Z
69bbe039146eacf0bb9cf221,59f70bca26457201db673398,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.23006409999999,19.365176299999998,2026-03-19T11:38:33.990Z
69bbe03a6e5e345879970643,692def8d556c112ab849d20f,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.11665119999999,19.4038185,2026-03-19T11:38:34.003Z
69bbe03a733b8958239f5e13,6957e5f7f8beefab4654bd1d,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.1705253,17.4129187,2026-03-19T11:38:34.405Z
69bbe03a9c2fd53e108bd08a,59f71587178b28f9fbf3fe85,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1668002,19.3838043,2026-03-19T11:38:34.473Z
69bbe03a8e8ac06d49feddc3,622587700b84737c45f56594,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.41958026960492,19.112567572776605,2026-03-19T11:38:34.504Z
69bbe03b86e0f5f192bcf202,63df749ce19b4d08d1b2fabe,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.2129604,18.908895,2026-03-19T11:38:35.008Z
69bbe03bf259fd2471ba497d,5ba2804f4e540ccf6703b67f,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1698333,19.472084199999998,2026-03-19T11:38:35.366Z
69bbe03ba8de4d2d75f96c01,632c0ec4434b0f0bd3ee1501,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.1762646,19.414717,2026-03-19T11:38:35.393Z
69bbe03c3ae94e89738495ff,5c3bb6a6593a3860380072a9,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.4860234,17.524718999999997,2026-03-19T11:38:36.448Z
69bbe03c146eacf0bb9cf22d,69b8e03a4529cf488d6f6955,2850d217-45bb-4a84-8175-f159c386f1ae,weak,weaker,-99.82482265681028,18.190443753674234,2026-03-19T11:38:36.797Z
69bbe03c16f32f3334e55b43,5d553e6e079747597fca1bd0,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.2203687,19.650004,2026-03-19T11:38:36.818Z
69bbe03c86e0f5f192bcf208,6896ccd2421d3798dfba3f2b,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.38230594620109,16.790260578723732,2026-03-19T11:38:36.824Z
69bbe03ceae4277c39002b5b,69b625474529cf488d64f172,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.84039589999999,16.9048186,2026-03-19T11:38:36.886Z
69bbe03c146eacf0bb9cf230,6572baebec2152cc8396e985,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.12530260734064,19.298157976900434,2026-03-19T11:38:36.993Z
69bbe03d8e8ac06d49feddd4,685f223424f884ad149ab41c,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.2002892,19.3718426,2026-03-19T11:38:37.138Z
69bbe03d9ab22f0ea43c526d,5a141acb49297f5a37e78e0f,2850d217-45bb-4a84-8175-f159c386f1ae,moderate,stronger,-99.8939345,16.8650524,2026-03-19T11:38:37.185Z
69bbe03dca8ee595099e55e1,6585155167467b3e07f34c7d,2850d217-45bb-4a84-8175-f159c386f1ae,moderate,correct,-99.1680155,19.4313163,2026-03-19T11:38:37.324Z
69bbe03d2db13e4ce6b95edb,5a8b05189d7756997f914463,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,weaker,-99.2195111,19.68732,2026-03-19T11:38:37.389Z
69bbe03d733b8958239f5e31,6450b6b037597e434adcd246,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,weaker,-99.1601925,19.4180436,2026-03-19T11:38:37.421Z
69bbe03d3d8f0a6fe7086e94,5a0c9a02b202584a119cbf9e,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.2536148,18.9768267,2026-03-19T11:38:37.440Z
69bbe03d96943ca0faacedd5,5d4cfa7f25c1e9cd224b5dab,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.2695201,19.3566598,2026-03-19T11:38:37.477Z
69bbe03d6914ae332b571271,6733b0697df6de46e3fb8e97,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-98.93281370000001,19.2872088,2026-03-19T11:38:37.571Z
69bbe03d86e0f5f192bcf20c,6969df6b61d71c8504d0eb3a,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1744974,19.4702091,2026-03-19T11:38:37.590Z
69bbe03db409d60963ddb4ec,59f6637d178b28f9fbf370d5,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,dont-know,-99.1088199,19.4436767,2026-03-19T11:38:37.674Z
69bbe03e33f58ed4c61d1fa0,632e4a8dc56279a5289339fa,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.18852079999999,19.4114729,2026-03-19T11:38:38.031Z
69bbe03e6e5e345879970661,632c05d284423860712bc5d4,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.2834093,19.4471389,2026-03-19T11:38:38.071Z
69bbe03ef259fd2471ba498a,6889dabb92aa64705d26a51b,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.132101,19.434037,2026-03-19T11:38:38.237Z
69bbe03e3d8f0a6fe7086ea1,6138316652bbe7a6e61d5bd0,2850d217-45bb-4a84-8175-f159c386f1ae,weak,correct,-99.1539178,19.394073400000003,2026-03-19T11:38:38.334Z
69bbe03ea8de4d2d75f96c1a,650539b830ae245940e42439,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.132101,19.434037,2026-03-19T11:38:38.454Z
69bbe03eeae4277c39002b83,63cb6db4b172957258a8dc0f,2850d217-45bb-4a84-8175-f159c386f1ae,didnt-feel,correct,-99.2026966,19.4433631,2026-03-19T11:38:38.690Z
